Position,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
1,Liverpool,38,32,3,3,85,33,52,99,15,"23,872",628.21,84%,896,20%,10.4
2,Manchester City,38,26,3,9,102,35,67,81,17,"26,329",692.87,89%,914,22%,159.0
3,Manchester United,38,18,12,8,66,36,30,66,13,"20,059",527.87,84%,635,20%,212.73
4,Chelsea,38,20,6,12,69,54,15,66,9,"23,245",611.71,85%,862,25%,45.0
5,Leicester City,38,18,8,12,67,41,26,62,13,"19,915",524.08,83%,779,21%,103.27
6,Tottenham Hotspur,38,16,11,11,61,47,14,59,8,"18,644",490.63,81%,641,17%,162.0
7,Wolverhampton Wanderers,38,15,14,9,51,40,11,59,13,"16,764",441.16,79%,718,25%,114.06
8,Arsenal,38,14,14,10,56,48,8,56,10,"18,649",490.76,84%,699,20%,145.0
9,Sheffield United,38,14,12,12,39,39,0,54,13,"14,922",392.68,74%,866,22%,65.9
10,Burnley,38,15,9,14,43,50,-7,54,15,"12,814",337.21,70%,743,25%,26.5
11,Southampton,38,15,7,16,51,60,-9,52,9,"15,667",412.29,73%,690,22%,39.04
12,Everton,38,13,10,15,44,56,-12,49,9,"15,826",416.47,78%,804,24%,123.46
13,Newcastle United,38,11,11,16,38,58,-20,44,11,"13,066",343.84,75%,591,22%,68.0
14,Crystal Palace,38,11,10,17,31,50,-19,43,10,"14,688",386.53,76%,588,24%,5.8
15,Brighton & Hove Albion,38,9,14,15,39,54,-15,41,9,"18,188",478.63,81%,689,22%,60.0
16,West Ham United,38,10,9,19,49,62,-13,39,7,"15,101",397.39,76%,737,24%,107.93
17,Aston Villa,38,9,8,21,41,67,-26,35,7,"13,835",354.74,77%,798,22%,147.78
18,Bournemouth,38,9,7,22,40,65,-25,34,5,"14,694",386.68,75%,646,20%,34.46
19,Watford,38,8,10,20,36,64,-28,34,9,"14,067",360.69,74%,684,22%,23.13
20,Norwich City,38,5,6,27,26,75,-49,21,5,"17,362",456.89,80%,473,21%,0.83
