Position,Club,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
1,Manchester City,27,5,6,83,32,51,86,19,"25,651",675.03,89%,632,19%,135.1
2,Manchester United,21,11,6,73,44,29,74,13,"20,996",552.53,85%,639,24%,88.89
3,Liverpool,20,9,9,68,42,26,69,12,"24,292",639.26,86%,862,20%,82.0
4,Chelsea,19,10,9,58,36,22,67,18,"24,070",633.42,87%,749,25%,220.0
5,Leicester City,20,6,12,68,50,18,66,11,"19,577",515.18,82%,649,18%,25.5
6,West Ham United,19,8,11,62,47,15,65,11,"15,152",398.74,78%,775,24%,48.6
7,Tottenham Hotspur,18,8,12,68,45,23,62,12,"19,070",501.84,82%,526,22%,74.9
8,Arsenal,18,7,13,55,39,16,61,12,"20,126",529.63,85%,751,21%,26.3
9,Leeds United,18,5,15,62,54,8,59,12,"18,652",490.84,81%,786,21%,92.0
10,Everton,17,8,13,47,48,-1,59,12,"17,132",450.84,81%,662,21%,70.37
11,Aston Villa,16,7,15,55,46,9,55,15,"15,189",399.71,79%,779,22%,95.9
12,Newcastle United,12,9,17,46,62,-16,45,7,"13,116",345.16,76%,652,24%,22.25
13,Wolverhampton Wanderers,12,9,17,36,52,-16,45,10,"17,522",461.11,83%,775,22%,84.5
14,Crystal Palace,12,8,18,41,66,-25,44,8,"14,067",370.18,76%,533,26%,27.0
15,Southampton,12,7,19,47,68,-21,43,9,"17,690",465.53,79%,554,19%,40.3
16,Brighton & Hove Albion,9,14,15,40,46,-6,41,12,"18,185",478.55,81%,686,24%,17.0
17,Burnley,10,9,19,33,55,-22,39,11,"13,846",364.37,72%,772,20%,1.0
18,Fulham,5,13,20,27,55,-28,28,9,"17,796",468.32,81%,710,23%,22.15
19,West Bromwich Albion,5,11,22,35,76,-41,26,6,"12,389",326.03,72%,604,22%,26.5
20,Sheffield United,7,2,29,20,63,-43,23,5,"14,647",385.45,77%,666,20%,46.5
