Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,
2018/19,7,16,9,13,47,46,1,57,9,"16,618",437.32,78%,622,25%,82.6
2019/20,7,15,14,9,51,40,11,59,13,"16,764",441.16,79%,718,25%,114.06
2020/21,13,12,9,17,36,52,-16,45,10,"17,522",461.11,83%,775,22%,84.5
2021/22,10,15,6,17,38,43,-5,51,11,"17,517",460.97,81%,587,23%,36.3
2022/23,13,11,8,19,31,58,-27,41,11,"16,712",439.79,81%,661,24%,186.16
