Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,1,23,12,3,68,36,32,81,15,"13,370",351.84,71%,762,23%,36.8
2016/17,12,12,8,18,48,63,-15,44,9,"13,674",359.84,70%,732,19%,95.1
2017/18,9,12,11,15,56,60,-4,47,9,"15,200",400.0,75%,744,19%,80.9
2018/19,9,15,7,16,51,48,3,52,10,"17,219",453.13,79%,779,21%,28.0
2019/20,5,18,8,12,67,41,26,62,13,"19,915",524.08,83%,779,21%,103.27
2020/21,5,20,6,12,68,50,18,66,11,"19,577",515.18,82%,649,18%,25.5
2021/22,8,14,10,14,62,59,3,52,7,"18,578",488.89,82%,556,18%,44.2
2022/23,18,9,7,22,51,68,-17,34,7,"17,365",456.97,80%,496,24%,48.0
