Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,16,9,10,19,28,58,-30,37,10,"14,960",393.68,74%,765,18%,97.4
2018/19,20,3,7,28,22,76,-54,16,5,"15,902",418.47,76%,769,22%,42.29
2019/20,,,,,,,,,,,,,,,
2020/21,,,,,,,,,,,,,,,
2021/22,,,,,,,,,,,,,,,
2022/23,,,,,,,,,,,,,,,
