Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,
2018/19,19,7,5,26,34,81,-47,26,5,"17,699",465.76,80%,611,23%,34.5
2019/20,,,,,,,,,,,,,,,
2020/21,18,5,13,20,27,55,-28,28,9,"17,796",468.32,81%,710,23%,22.15
2021/22,,,,,,,,,,,,,,,
2022/23,10,15,7,16,55,53,2,52,9,"16,197",426.24,80%,769,26%,71.3
