Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,5,19,9,10,49,35,14,66,18,"20,070",528.16,82%,786,19%,146.0
2016/17,6,18,15,5,54,29,25,69,17,"20,247",532.82,84%,848,24%,185.0
2017/18,2,25,6,7,68,28,40,81,19,"20,064",528.0,84%,753,20%,164.4
2018/19,6,19,9,10,65,54,11,66,7,"19,202",492.36,82%,638,20%,59.4
2019/20,3,18,12,8,66,36,30,66,13,"20,059",527.87,84%,635,20%,212.73
2020/21,2,21,11,6,73,44,29,74,13,"20,996",552.53,85%,639,24%,88.89
2021/22,6,16,10,12,57,57,0,58,8,"19,035",500.92,83%,659,23%,145.0
2022/23,3,23,6,9,58,43,15,75,17,"19,086",502.26,82%,517,23%,238.02
