Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,3,19,13,6,69,35,34,70,13,"18,649",490.76,80%,738,21%,67.0
2016/17,2,26,8,4,86,26,60,86,17,"20,153",530.34,82%,761,20%,68.5
2017/18,3,23,8,7,74,36,38,77,16,"21,660",570.0,84%,825,20%,115.2
2018/19,4,23,2,13,67,39,28,71,13,"21,295",560.39,83%,643,26%,0.0
2019/20,6,16,11,11,61,47,14,59,8,"18,644",490.63,81%,641,17%,162.0
2020/21,7,18,8,12,68,45,23,62,12,"19,070",501.84,82%,526,22%,74.9
2021/22,4,22,5,11,69,40,29,71,16,"19,165",504.34,85%,632,24%,61.0
2022/23,8,18,6,14,70,63,7,60,10,"18,042",474.79,83%,719,26%,169.9
