Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,20,3,8,27,27,76,-49,17,6,"15,308",402.84,78%,796,22%,66.5
2016/17,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,
2018/19,,,,,,,,,,,,,,,
2019/20,17,9,8,21,41,67,-26,35,7,"13,835",354.74,77%,798,22%,147.78
2020/21,11,16,7,15,55,46,9,55,15,"15,189",399.71,79%,779,22%,95.9
2021/22,14,13,6,19,52,54,-2,45,11,"14,886",391.74,80%,670,22%,68.0
2022/23,7,18,7,13,51,46,5,61,12,"15,940",419.47,81%,561,23%,96.14
