Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,6,18,9,11,59,41,18,63,12,"15,913",418.76,78%,956,24%,53.2
2016/17,8,12,10,16,41,48,-7,46,14,"18,240",480.0,81%,948,22%,96.0
2017/18,17,7,15,16,37,56,-19,36,8,"17,174",451.95,77%,800,22%,122.37
2018/19,16,9,12,17,45,65,-20,39,7,"14,297",376.24,74%,664,24%,55.0
2019/20,11,15,7,16,51,60,-9,52,9,"15,667",412.29,73%,690,22%,39.04
2020/21,15,12,7,19,47,68,-21,43,9,"17,690",465.53,79%,554,19%,40.3
2021/22,15,9,13,16,43,67,-24,40,8,"15,288",402.32,77%,711,21%,31.1
2022/23,20,6,7,25,36,73,-37,25,4,"14,796",389.37,77%,613,24%,117.1
