Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,14,10,13,15,34,48,-14,43,11,"12,262",322.68,70%,847,23%,38.7
2016/17,10,12,9,17,43,51,-8,45,6,"11,821",311.08,70%,767,23%,47.7
2017/18,20,6,13,19,31,56,-25,31,10,"13,218",347.84,72%,784,25%,50.8
2018/19,,,,,,,,,,,,,,,
2019/20,,,,,,,,,,,,,,,
2020/21,19,5,11,22,35,76,-41,26,6,"12,389",326.03,72%,604,22%,26.5
2021/22,,,,,,,,,,,,,,,
2022/23,,,,,,,,,,,,,,,
