Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,
2018/19,,,,,,,,,,,,,,,
2019/20,9,14,12,12,39,39,0,54,13,"14,922",392.68,74%,866,22%,65.9
2020/21,20,7,2,29,20,63,-43,23,5,"14,647",385.45,77%,666,20%,46.5
2021/22,,,,,,,,,,,,,,,
2022/23,,,,,,,,,,,,,,,
