Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,18,9,10,19,44,65,-21,37,8,"15,118",397.84,77%,775,23%,133.8
2016/17,,,,,,,,,,,,,,,
2017/18,10,12,8,18,39,47,-8,44,9,"14,028",369.16,72%,616,22%,66.8
2018/19,13,12,9,17,42,48,-6,45,11,"13,490",355.0,73%,711,24%,37.96
2019/20,13,11,11,16,38,58,-20,44,11,"13,066",343.84,75%,591,22%,68.0
2020/21,12,12,9,17,46,62,-16,45,7,"13,116",345.16,76%,652,24%,22.25
2021/22,11,13,10,15,44,62,-18,49,8,"12,503",329.03,75%,592,25%,157.97
2022/23,4,19,14,5,68,33,35,71,14,"16,052",422.42,80%,740,29%,136.85
