Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,15,9,13,16,34,54,-20,40,10,"14,675",386.18,75%,680,21%,51.9
2018/19,17,9,9,20,35,60,-25,36,7,"14,109",371.29,75%,636,29%,63.74
2019/20,15,9,14,15,39,54,-15,41,9,"18,188",478.63,81%,689,22%,60.0
2020/21,16,9,14,15,40,46,-6,41,12,"18,185",478.55,81%,686,24%,17.0
2021/22,9,12,15,11,42,44,-2,51,11,"18,835",495.66,82%,728,26%,39.9
2022/23,6,18,8,12,72,53,19,62,12,"21,280",560.0,86%,694,24%,40.24
