Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,,,,,,,,,,,,,,,
2017/18,,,,,,,,,,,,,,,
2018/19,,,,,,,,,,,,,,,
2019/20,,,,,,,,,,,,,,,
2020/21,9,18,5,15,62,54,8,59,12,"18,652",490.84,81%,786,21%,92.0
2021/22,17,9,11,18,42,79,-37,38,5,"16,503",434.29,78%,648,19%,15.0
2022/23,19,7,10,21,48,78,-30,31,5,"15,160",398.95,75%,653,25%,143.04
