Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,12,12,11,15,42,52,-10,47,9,"18,169",478.13,81%,725,20%,19.8
2016/17,15,12,5,21,45,70,-25,41,8,"16,125",424.34,79%,864,27%,33.53
2017/18,18,8,9,21,28,56,-28,33,9,"15,721",413.71,78%,694,20%,79.27
2018/19,,,,,,,,,,,,,,,
2019/20,,,,,,,,,,,,,,,
2020/21,,,,,,,,,,,,,,,
2021/22,,,,,,,,,,,,,,,
2022/23,,,,,,,,,,,,,,,
