Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,10,12,14,12,59,53,6,50,9,"19,664",517.47,82%,732,19%,72.9
2016/17,1,30,3,5,85,33,52,93,16,"20,125",529.61,84%,688,19%,138.5
2017/18,5,21,7,10,62,38,24,70,16,"21,264",559.58,84%,755,21%,263.1
2018/19,3,21,9,8,63,39,24,72,16,"25,070",659.74,88%,692,19%,252.45
2019/20,4,20,6,12,69,54,15,66,9,"23,245",611.71,85%,862,25%,45.0
2020/21,4,19,10,9,58,36,22,67,18,"24,070",633.42,87%,749,25%,220.0
2021/22,3,21,11,6,76,33,43,74,16,"23,179",609.97,87%,745,21%,115.0
2022/23,12,11,11,16,38,47,-9,44,10,"21,149",556.55,86%,693,22%,617.29
