Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,15,11,9,18,39,51,-12,42,8,"13,785",362.76,74%,969,23%,25.0
2016/17,14,12,5,21,50,63,-13,41,7,"13,543",356.39,73%,871,26%,128.7
2017/18,11,11,11,16,45,55,-10,44,9,"14,372",378.21,75%,703,24%,96.9
2018/19,12,14,7,17,51,53,-2,49,12,"15,243",401.13,77%,577,24%,7.5
2019/20,14,11,10,17,31,50,-19,43,10,"14,688",386.53,76%,588,24%,5.8
2020/21,14,12,8,18,41,66,-25,44,8,"14,067",370.18,76%,533,26%,27.0
2021/22,12,11,15,12,50,46,4,48,12,"17,309",455.5,80%,643,23%,45.8
2022/23,11,11,12,15,40,50,-10,45,9,"15,707",413.34,79%,591,23%,24.0
