Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,8,16,12,10,63,50,13,60,11,"19,733",519.29,80%,780,23%,112.0
2016/17,4,22,10,6,78,42,36,76,12,"22,283",586.39,82%,812,22%,85.7
2017/18,4,21,12,5,84,38,46,75,17,"22,962",604.26,84%,764,22%,233.5
2018/19,2,30,7,1,89,22,67,97,21,"23,638",606.1,84%,721,24%,187.43
2019/20,1,32,3,3,85,33,52,99,15,"23,872",628.21,84%,896,20%,10.4
2020/21,3,20,9,9,68,42,26,69,12,"24,292",639.26,86%,862,20%,82.0
2021/22,2,28,8,2,94,26,68,92,21,"23,588",620.74,85%,897,25%,86.3
2022/23,5,19,10,9,75,49,26,67,14,"22,401",589.5,84%,799,26%,129.89
