Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,11,11,14,13,59,55,4,47,10,"17,947",472.29,81%,782,21%,30.5
2016/17,7,17,10,11,62,44,18,61,13,"17,584",462.74,79%,767,22%,112.12
2017/18,8,13,10,15,44,58,-14,49,10,"14,749",388.13,74%,629,25%,236.2
2018/19,8,15,9,14,54,46,8,54,14,"16,494",434.05,77%,814,25%,116.75
2019/20,12,13,10,15,44,56,-12,49,9,"15,826",416.47,78%,804,24%,123.46
2020/21,10,17,8,13,47,48,-1,59,12,"17,132",450.84,81%,662,21%,70.37
2021/22,16,11,6,21,43,66,-23,39,8,"12,944",340.63,73%,653,25%,60.1
2022/23,17,8,12,18,35,57,-22,36,9,"14,152",372.42,77%,704,23%,45.0
