Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,13,12,9,17,40,50,-10,45,11,"10,765",283.29,73%,164,22%,34.55
2016/17,17,11,7,20,40,68,-28,40,7,"14,049",369.71,74%,686,24%,92.35
2017/18,14,11,8,19,44,64,-20,41,9,"15,654",411.95,76%,713,22%,105.32
2018/19,11,14,8,16,52,59,-7,50,7,"15,462",406.89,76%,570,18%,14.75
2019/20,19,8,10,20,36,64,-28,34,9,"14,067",360.69,74%,684,22%,23.13
2020/21,,,,,,,,,,,,,,,
2021/22,19,6,5,27,34,77,-43,23,4,"13,046",343.32,73%,610,24%,17.6
2022/23,,,,,,,,,,,,,,,
