Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,,,,,,,,,,,,,,,
2016/17,16,11,7,20,39,55,-16,40,10,"12,559",330.5,68%,649,27%,40.6
2017/18,7,14,12,12,36,39,-3,54,12,"13,572",357.16,71%,707,26%,34.04
2018/19,15,11,7,20,45,68,-23,40,8,"13,011",342.39,70%,693,24%,35.8
2019/20,10,15,9,14,43,50,-7,54,15,"12,814",337.21,70%,743,25%,26.5
2020/21,17,10,9,19,33,55,-22,39,11,"13,846",364.37,72%,772,20%,1.0
2021/22,18,7,14,17,34,53,-19,35,9,"12,319",324.18,69%,747,22%,43.0
2022/23,,,,,,,,,,,,,,,
