Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,2,20,11,7,65,36,29,71,18,"21,249",559.18,84%,754,25%,24.1
2016/17,5,23,6,9,77,44,33,75,13,"21,392",562.95,84%,697,22%,115.0
2017/18,6,19,6,13,74,51,23,63,13,"23,524",619.05,84%,572,21%,119.0
2018/19,5,21,7,10,73,51,22,70,8,"20,805",547.5,83%,605,21%,39.0
2019/20,8,14,14,10,56,48,8,56,10,"18,649",490.76,84%,699,20%,145.0
2020/21,8,18,7,13,55,39,16,61,12,"20,126",529.63,85%,751,21%,26.3
2021/22,5,22,3,13,61,48,13,69,13,"18,290",481.32,83%,633,24%,147.1
2022/23,2,26,6,6,88,43,45,84,14,"20,450",538.16,85%,674,20%,224.56
