Season,Position,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points,Clean_Sheet,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%,Total Expenditure (Millions £)
2015/16,16,11,9,18,45,67,-22,42,7,"17,270",454.47,80%,749,22%,63.95
2016/17,9,12,10,16,55,67,-12,46,10,"17,145",451.18,81%,629,19%,56.22
2017/18,12,11,11,16,45,61,-16,44,6,"16,131",424.5,77%,707,23%,45.8
2018/19,14,13,6,19,56,70,-14,45,10,"15,943",419.55,78%,613,27%,74.6
2019/20,18,9,7,22,40,65,-25,34,5,"14,694",386.68,75%,646,20%,34.46
2020/21,,,,,,,,,,,,,,,
2021/22,,,,,,,,,,,,,,,
2022/23,15,11,6,21,37,71,-34,39,8,"13,931",376.51,78%,512,27%,83.1
